amino acid,Canonical_SMILES,PubChem CID,dicarbonyl compounds ,Canonical_SMILES,PubChem CID,AGEs,Canonical_SMILES,PubChem CID
lysine ,C(CCN)CC(C(=O)O)N,5962,lactose,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,6134,N¦Å-(carboxylmethyl)-L-lysine (CML),C(CCN)CC(C(=O)O)NCC(=O)O,123880
lysine ,C(CCN)CC(C(=O)O)N,5962,saccharose,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,5988,N¦Å-(carboxylmethyl)-L-lysine (CML),C(CCN)CC(C(=O)O)NCC(=O)O,123880
lysine ,C(CCN)CC(C(=O)O)N,5962,lactose,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,6134,N¦Å-(carboxylethyl)-L-lysine (CEL),CC(C(=O)O)NCCCCC(C(=O)O)N,23400779
lysozyme,CC(C(=O)NC(CCC(=O)NC(CCCCN)C(=O)NC(C)C(=O)O)C(=O)N)NC(=O)C(C)OC1C(C(OC(C1OC2C(C(C(C(O2)CO)O)O)CC(=O)C)CO)O)NC(=O)O,24839946,fructose,C1C(C(C(C(O1)(CO)O)O)O)O,2723872,N¦Å-(carboxylmethyl)-L-lysine (CML),C(CCN)CC(C(=O)O)NCC(=O)O,123880
arginine,C(CC(C(=O)O)N)CN=C(N)N,6322,3-deoxyglucosone ,C(C(C(CO)O)O)C(=O)C=O,114839,imidazolone A ,C(CC(C(=O)O)N)CN=C1NC(C(=O)N1)CC(C(CO)O)O,136703964
 Gly-Cys,C(C(C(=O)O)NC(=O)CN)S,7408690,methylglyoxal,CC(=O)C=O,880,pyrazinone ,C1=CN=CC(=O)N1,72758
 Gly-Gly,C(C(=O)NCC(=O)O)N,11163,methylglyoxal,CC(=O)C=O,880,pyrazinone ,C1=CN=CC(=O)N1,72758
Gly-Leu,CC(C)CC(C(=O)O)NC(=O)CN,92843,methylglyoxal,CC(=O)C=O,880,pyrazinone ,C1=CN=CC(=O)N1,72758
Gly-Phe,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CN,92953,methylglyoxal,CC(=O)C=O,880,pyrazinone ,C1=CN=CC(=O)N1,72758
Gly-Pro,C1CC(N(C1)C(=O)CN)C(=O)O,3013625,methylglyoxal,CC(=O)C=O,880,pyrazinone ,C1=CN=CC(=O)N1,72758
 Gly-Ser ,C(C(C(=O)O)NC(=O)CN)O,73086,methylglyoxal,CC(=O)C=O,880,pyrazinone ,C1=CN=CC(=O)N1,72758
 Gly-Gly-Gly,C(C(=O)NCC(=O)NCC(=O)O)N,11161,methylglyoxal,CC(=O)C=O,880,pyrazinone ,C1=CN=CC(=O)N1,72758
 Gly-Ala-Phe ,CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)CN,6992494,glyoxal,C(=O)C=O,7860,pyrazinone ,C1=CN=CC(=O)N1,72758
 Gly-Ala-Phe ,CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)CN,6992494,methylglyoxal,CC(=O)C=O,880,5-methylpyrazinone ,CC1=CC(=O)NN=C1,327041
Immunoglobulin G(IgG) ,CC(C(C(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)O)NC(=O)C(CCCCN)NC(=O)C(C)NC(=O)C(CC(=O)N)NC(=O)C(CC2=CNC3=CC=CC=C32)N)O,190955,glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,N¦Å-(carboxylmethyl)-L-lysine ,C(CCN)CC(C(=O)O)NCC(=O)O,123880
deoxyribonucleic acid,[NH2-].[NH2-].Cl[Pt]Cl,6712951,glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,N2-carboxyethyl-2'-deoxyguanosine,CC(C(=O)O)NC1=NC2=C(C(=O)N1)N=CN2C3CC(C(O3)CO)O,135970739
